                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.75353,                 4.3925,                0.43881,                0.82798,                 1.0931,                0.79398,                0.84254,                0.87265,                0.72221,                0.67723,                0.57921,                0.56076,                0.14805,                0.68934,                 4.6713,                 0.3948,                 0.6884,                 1.0552,              0.0002476,              0.0002476,              0.0002476
                     78,                 0.7407,                 4.3585,                0.43688,                0.80017,                 1.0929,                0.81732,                0.81671,                 0.8849,                0.73648,                0.66292,                0.62697,                0.58955,                0.15555,                0.68916,                 4.6487,                0.39604,                0.67996,                 1.0618,              0.0002377,              0.0002377,              0.0002377
                     79,                0.72824,                 4.3658,                0.43341,                 0.7814,                 1.0817,                0.80491,                0.82862,                0.88711,                0.74778,                0.66688,                0.63327,                0.59242,                0.15448,                0.67047,                  4.596,                0.39444,                0.67079,                 1.0387,              0.0002278,              0.0002278,              0.0002278
                     80,                0.72829,                 4.3862,                0.43397,                0.79616,                  1.087,                0.80238,                0.84379,                 0.8866,                0.74031,                0.66739,                0.59874,                0.56439,                0.14992,                0.68818,                 4.6031,                0.39287,                0.67361,                 1.0537,              0.0002179,              0.0002179,              0.0002179
                     81,                0.72953,                 4.3121,                0.43547,                0.78087,                 1.0866,                0.81361,                0.84596,                0.88583,                0.74359,                0.66961,                0.60019,                0.57933,                0.14734,                0.67488,                 4.5908,                0.39018,                0.67226,                 1.0362,               0.000208,               0.000208,               0.000208
                     82,                0.72511,                 4.2916,                0.42987,                0.77623,                 1.0832,                0.82767,                0.83743,                0.88846,                0.74376,                0.67638,                0.58963,                0.56132,                0.15029,                0.67613,                 4.5407,                0.39179,                0.67606,                 1.0445,              0.0001981,              0.0001981,              0.0001981
                     83,                0.73213,                 4.3122,                0.43536,                0.76929,                 1.0849,                0.81172,                0.82045,                0.87955,                0.73271,                0.66518,                0.58803,                0.56442,                0.14933,                0.67412,                 4.6519,                 0.3906,                0.71857,                 1.0483,              0.0001882,              0.0001882,              0.0001882
                     84,                0.71784,                  4.299,                0.43396,                0.76746,                 1.0815,                 0.8256,                 0.8311,                0.89038,                0.74395,                0.66193,                0.61044,                0.57097,                0.14924,                0.67237,                 4.5828,                0.38944,                0.67269,                 1.0351,              0.0001783,              0.0001783,              0.0001783
                     85,                0.72641,                 4.2322,                0.43272,                 0.7756,                 1.0868,                0.82402,                0.83758,                0.88797,                0.74575,                0.70047,                0.61308,                0.58703,                0.15436,                0.66113,                 4.5539,                0.39061,                0.66996,                  1.032,              0.0001684,              0.0001684,              0.0001684
                     86,                0.71459,                 4.2813,                0.43195,                0.75088,                 1.0763,                 0.7962,                0.86475,                0.88393,                0.74107,                0.67155,                0.62982,                 0.5907,                0.15567,                0.67008,                 4.5235,                0.39155,                0.66542,                 1.0333,              0.0001585,              0.0001585,              0.0001585
                     87,                0.72339,                  4.279,                0.43079,                 0.7565,                 1.0816,                0.81788,                0.83328,                0.88663,                0.74415,                0.66644,                0.63213,                0.58864,                0.15011,                0.67542,                 4.5549,                0.39151,                0.66951,                 1.0403,              0.0001486,              0.0001486,              0.0001486
                     88,                0.70986,                 4.2179,                0.43147,                0.75343,                 1.0741,                0.83773,                0.83566,                0.89274,                0.74894,                0.66875,                0.66028,                0.60316,                0.15216,                0.67359,                 4.4891,                0.38908,                0.66468,                 1.0389,              0.0001387,              0.0001387,              0.0001387
                     89,                0.70249,                 4.2445,                 0.4331,                 0.7411,                 1.0698,                0.81351,                0.84634,                0.88888,                0.74632,                0.68847,                0.62504,                 0.5853,                0.14723,                0.66712,                 4.5101,                0.38733,                0.66107,                 1.0297,              0.0001288,              0.0001288,              0.0001288
                     90,                0.70325,                 4.2077,                 0.4313,                0.73337,                 1.0676,                0.83603,                0.83106,                0.88699,                0.74394,                0.66623,                0.65319,                 0.5978,                 0.1549,                0.67013,                 4.5246,                0.38862,                0.66949,                 1.0293,              0.0001189,              0.0001189,              0.0001189
                     91,                 0.5652,                 3.9843,                0.38103,                0.46232,                0.99392,                0.83606,                0.82855,                0.88201,                0.73423,                0.67871,                 0.6403,                0.59156,                0.16087,                0.67034,                  4.596,                0.38535,                0.67862,                 1.0341,               0.000109,               0.000109,               0.000109
                     92,                0.55052,                 3.9795,                 0.3836,                0.44815,                0.98529,                0.82175,                0.84126,                 0.8866,                0.73566,                0.63304,                0.64323,                0.56837,                 0.1564,                0.66899,                  4.539,                0.38534,                0.68971,                 1.0296,               9.91e-05,               9.91e-05,               9.91e-05
